Designator,Val,Package,Mid X,Mid Y,Rotation ,Layer
"C1","10µF","C_0805_2012Metric",64.698000,5.500000,-90.000000,top
"C2","0.1µF","C_0805_2012Metric",68.000000,5.500000,-90.000000,top
"D1","Green","LED_0805_2012Metric",25.072000,3.652000,90.000000,top
"D2","Green","LED_0805_2012Metric",3.000000,37.000000,90.000000,top
"D3","Green","LED_0805_2012Metric",16.182000,37.434000,90.000000,top
"D4","Green","LED_0805_2012Metric",28.374000,37.180000,90.000000,top
"D5","Green","LED_0805_2012Metric",40.820000,37.180000,90.000000,top
"D6","Orange","LED_0805_2012Metric",59.200000,48.200000,-90.000000,top
"D7","Blue","LED_0805_2012Metric",61.800000,48.200000,-90.000000,top
"D8","Red","LED_0805_2012Metric",64.400000,48.200000,-90.000000,top
"D9","Green","LED_0805_2012Metric",67.000000,48.200000,-90.000000,top
"D10","yellow","LED_0805_2012Metric",69.500000,48.200000,-90.000000,top
"D11","Blue","LED_0805_2012Metric",72.100000,48.200000,-90.000000,top
"D12","Red","LED_0805_2012Metric",74.600000,48.200000,-90.000000,top
"D13","Green","LED_0805_2012Metric",77.200000,48.200000,-90.000000,top
"IC1","AW9523BTQR","QFN50P400X400X80-25N-D",59.870000,13.050000,-135.000000,top
"J1","PWR_Bottom1","PinHeader_1x02_P2.54mm_Vertical",86.540000,51.409000,0.000000,top
"J2","PWR_Bottom2","PinHeader_1x02_P2.54mm_Vertical",23.040000,51.409000,0.000000,top
"J3","P0_0-07","PinHeader_1x08_P2.54mm_Vertical",29.405000,56.230000,90.000000,top
"J4","P0_0-07","PinHeader_1x08_P2.54mm_Vertical",29.390000,62.580000,90.000000,top
"J5","I2C ComPort","PinHeader_1x06_P2.54mm_Vertical",82.222000,61.564000,0.000000,top
"J6","PWR_Top","PinHeader_1x02_P2.54mm_Vertical",19.992000,6.192000,0.000000,top
"J7","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",59.362000,30.830000,90.000000,top
"J8","Conn_01x08_Male","PinHeader_1x08_P2.54mm_Vertical",59.377000,62.605000,90.000000,top
"J9","Conn_01x08_Male","PinHeader_1x08_P2.54mm_Vertical",59.377000,56.255000,90.000000,top
"R1","220","R_0805_2012Metric",25.072000,8.732000,-90.000000,top
"R2","10k","R_0805_2012Metric",7.800000,37.180000,-90.000000,top
"R3","220","R_0805_2012Metric",3.000000,42.000000,-90.000000,top
"R4","10k","R_0805_2012Metric",20.754000,37.434000,-90.000000,top
"R5","220","R_0805_2012Metric",16.182000,41.498000,-90.000000,top
"R6","10k","R_0805_2012Metric",83.000000,31.000000,180.000000,top
"R7","10k","R_0805_2012Metric",86.000000,39.500000,180.000000,top
"R8","10k","R_0805_2012Metric",33.000000,37.180000,-90.000000,top
"R9","220","R_0805_2012Metric",28.374000,41.498000,-90.000000,top
"R10","10k","R_0805_2012Metric",69.912500,13.500000,0.000000,top
"R11","10k","R_0805_2012Metric",60.000000,3.500000,0.000000,top
"R12","10k","R_0805_2012Metric",82.000000,21.000000,180.000000,top
"R13","10k","R_0805_2012Metric",45.646000,37.180000,-90.000000,top
"R14","220","R_0805_2012Metric",40.820000,42.000000,-90.000000,top
"R15","220","R_0805_2012Metric",59.362000,40.990000,90.000000,top
"R16","220","R_0805_2012Metric",61.902000,40.990000,90.000000,top
"R17","220","R_0805_2012Metric",64.442000,40.990000,90.000000,top
"R18","220","R_0805_2012Metric",66.982000,40.990000,90.000000,top
"R19","220","R_0805_2012Metric",69.522000,40.990000,90.000000,top
"R20","220","R_0805_2012Metric",72.062000,40.990000,90.000000,top
"R21","220","R_0805_2012Metric",74.602000,40.990000,90.000000,top
"R22","220","R_0805_2012Metric",77.142000,40.990000,90.000000,top
"SW1","SW_Push","314375650",5.500000,24.500000,180.000000,top
"SW2","SW_Push","314375650",18.500000,24.480000,180.000000,top
"SW3","SW_Push","314375650",30.660000,24.480000,180.000000,top
"SW4","SW_Push","314375650",43.360000,24.480000,180.000000,top
